year,round_cutoff,gp_name_cutoff,gp_date_cutoff,hamilton_rank,hamilton_points,leader_points,points_behind,pct_of_leader,pct_to_leader_label,status_label,wins_to_date,podiums_to_date,poles_to_date,dnf_to_date,races_started,races_scored_pct,race_scored_pct_main,weekend_scored_pct,zero_point_weekends_to_date,team,teammate_points_to_date,teammate_gap
2007,17,Brazilian Grand Prix,2007-10-21,2,109.0,110.0,1.0,99.1,99.1%,Gap: 1 pts,4,12,5,0,5,1.0,1.0,2.2,0,McLaren,38.0,71.0
2008,18,Brazilian Grand Prix,2008-11-02,1,98.0,98.0,0.0,100.0,100.0% (1er),Leader,5,10,7,0,5,0.8,0.8,4.8,1,McLaren,14.0,84.0
2009,17,Abu Dhabi Grand Prix,2009-11-01,5,49.0,95.0,46.0,51.6,51.6%,Gap: 46 pts,2,5,4,1,5,0.6,0.6,9.2,2,McLaren,4.0,45.0
2010,19,Abu Dhabi Grand Prix,2010-11-14,4,240.0,256.0,16.0,93.8,93.8%,Gap: 16 pts,3,9,1,0,4,1.0,1.0,4.25,0,McLaren,60.0,180.0
2011,19,Brazilian Grand Prix,2011-11-27,5,227.0,392.0,165.0,57.9,57.9%,Gap: 165 pts,3,6,1,0,5,1.0,1.0,3.4,0,McLaren,61.0,166.0
2012,19,United States Grand Prix,2012-11-18,4,190.0,273.0,83.0,69.6,69.6%,Gap: 83 pts,4,7,7,0,4,1.0,1.0,4.25,0,McLaren,43.0,147.0
2013,19,Brazilian Grand Prix,2013-11-24,4,189.0,397.0,208.0,47.6,47.6%,Gap: 208 pts,1,5,5,0,5,0.8,0.8,5.6,1,Mercedes,22.0,167.0
2014,19,Abu Dhabi Grand Prix,2014-11-23,1,384.0,384.0,0.0,100.0,100.0% (1er),Leader,11,16,7,1,5,0.8,0.8,4.6,1,Mercedes,97.0,287.0
2015,19,Abu Dhabi Grand Prix,2015-11-29,1,381.0,381.0,0.0,100.0,100.0% (1er),Leader,10,17,11,0,5,1.0,1.0,1.4,0,Mercedes,91.0,290.0
2016,19,Mexican Grand Prix,2016-10-30,2,330.0,349.0,19.0,94.6,94.6%,Gap: 19 pts,8,15,10,0,4,1.0,1.0,3.5,0,Mercedes,100.0,230.0
2017,19,Brazilian Grand Prix,2017-11-12,1,345.0,345.0,0.0,100.0,100.0% (1er),Leader,9,12,11,0,5,1.0,1.0,2.0,0,Mercedes,63.0,282.0
2018,19,Mexican Grand Prix,2018-10-28,1,358.0,358.0,0.0,100.0,100.0% (1er),Leader,9,15,9,0,5,1.0,1.0,2.2,0,Mercedes,58.0,300.0
2019,19,United States Grand Prix,2019-11-03,1,381.0,381.0,0.0,100.0,100.0% (1er),Leader,10,16,4,0,5,1.0,1.0,1.4,0,Mercedes,105.0,276.0
2020,17,Abu Dhabi Grand Prix,2020-12-13,1,347.0,347.0,0.0,100.0,100.0% (1er),Leader,11,14,10,0,5,1.0,1.0,1.8,0,Mercedes,73.0,274.0
2021,19,São Paulo Grand Prix,2021-11-14,2,318.5,332.5,14.0,95.8,95.8%,Gap: 14 pts,6,14,6,0,5,1.0,1.0,2.4,0,Mercedes,47.0,271.5
2022,19,United States Grand Prix,2022-10-23,6,198.0,391.0,193.0,50.6,50.6%,Gap: 193 pts,0,7,0,0,5,0.8,0.8,7.2,1,Mercedes,59.0,139.0
2023,19,Mexico City Grand Prix,2023-10-29,3,220.0,491.0,271.0,44.8,44.8%,Gap: 271 pts,0,6,1,0,5,1.0,1.0,4.8,0,Mercedes,35.0,185.0
2024,19,United States Grand Prix,2024-10-20,6,177.0,354.0,177.0,50.0,50.0%,Gap: 177 pts,2,4,0,1,5,0.8,0.8,10.4,1,Mercedes,32.0,145.0
2025,19,United States Grand Prix,2025-10-19,6,142.0,346.0,204.0,41.0,41.0%,Gap: 204 pts,0,0,0,1,5,0.8,0.8,9.6,1,Ferrari,43.0,99.0
